,ano,codigo,rdeser,total_matriculados,mat_mas,promedio_edad,municipal,particular,arancel,total_titulados,rmat_tit,clasif_inst_n3,area_ocde,modalidad,jornada,acreditada
9914,2011,I71S1C5J1V1,Bajo,Medio Alto,Medio,Bajo,Medio Alto,Medio Alto,Medio Alto,Medio,Medio,Universidades Estatales CRUCH,CIENCIAS,PRESENCIAL,DIURNO,acreditado
9916,2011,I71S1C56J2V1,Medio,Muy Bajo,Alto,Medio Alto,Alto,Medio,Muy Bajo,Muy Bajo,Muy Bajo,Universidades Estatales CRUCH,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,VESPERTINO,acreditado
9917,2011,I71S1C55J2V1,Medio Alto,Muy Bajo,Medio Alto,Medio Alto,Bajo,Alto,Medio,Muy Bajo,Medio,Universidades Estatales CRUCH,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,VESPERTINO,no acreditado
9918,2011,I71S1C46J1V1,Bajo,Medio Alto,Muy Bajo,Bajo,Medio,Alto,Medio Alto,Medio Alto,Bajo,Universidades Estatales CRUCH,HUMANIDADES Y ARTES,PRESENCIAL,DIURNO,acreditado
9919,2011,I71S1C44J1V1,Muy Bajo,Medio Alto,Bajo,Medio,Medio Alto,Medio,Medio,Alto,Bajo,Universidades Estatales CRUCH,EDUCACI�N,PRESENCIAL,DIURNO,acreditado
9920,2011,I71S1C43J1V1,Medio,Medio Alto,Muy Bajo,Muy Bajo,Medio,Medio,Medio,Medio Alto,Muy Bajo,Universidades Estatales CRUCH,EDUCACI�N,PRESENCIAL,DIURNO,acreditado
9921,2011,I71S1C41J1V1,Medio,Medio,Medio,Bajo,Medio,Medio,Medio,Bajo,Bajo,Universidades Estatales CRUCH,EDUCACI�N,PRESENCIAL,DIURNO,acreditado
9922,2011,I71S1C3J1V1,Bajo,Alto,Bajo,Bajo,Medio,Medio Alto,Alto,Medio Alto,Medio Alto,Universidades Estatales CRUCH,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,acreditado
9923,2011,I71S1C39J1V1,Bajo,Medio Alto,Medio Alto,Bajo,Medio Alto,Medio Alto,Medio,Medio,Medio Alto,Universidades Estatales CRUCH,CIENCIAS,PRESENCIAL,DIURNO,no acreditado
9924,2011,I71S1C37J1V1,Medio,Medio,Medio,Muy Bajo,Medio Alto,Medio Alto,Medio Alto,Bajo,Muy Bajo,Universidades Estatales CRUCH,CIENCIAS,PRESENCIAL,DIURNO,acreditado
9925,2011,I71S1C36J1V1,Muy Bajo,Medio Alto,Muy Bajo,Muy Bajo,Medio Alto,Medio,Alto,Alto,Muy Bajo,Universidades Estatales CRUCH,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,acreditado
9926,2011,I71S1C35J1V1,Medio,Medio,Medio Alto,Bajo,Medio Alto,Medio Alto,Medio Alto,Bajo,Medio Alto,Universidades Estatales CRUCH,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,no acreditado
9927,2011,I71S1C32J1V1,Medio Alto,Medio Alto,Alto,Bajo,Medio Alto,Medio Alto,Medio Alto,Medio,Alto,Universidades Estatales CRUCH,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,no acreditado
9928,2011,I71S1C31J1V1,Medio,Alto,Medio,Muy Bajo,Medio Alto,Medio Alto,Medio Alto,Alto,Medio,Universidades Estatales CRUCH,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,acreditado
9929,2011,I71S1C30J1V1,Muy Bajo,Medio Alto,Medio,Bajo,Medio Alto,Medio Alto,Medio Alto,Alto,Medio,Universidades Estatales CRUCH,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,acreditado
9931,2011,I71S1C2J1V1,Bajo,Alto,Medio,Muy Bajo,Medio Alto,Medio Alto,Medio Alto,Alto,Bajo,Universidades Estatales CRUCH,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,acreditado
9932,2011,I71S1C29J1V1,Bajo,Alto,Medio Alto,Bajo,Medio Alto,Medio Alto,Medio Alto,Alto,Medio Alto,Universidades Estatales CRUCH,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,no acreditado
9934,2011,I71S1C28J1V1,Medio,Medio Alto,Medio Alto,Bajo,Medio Alto,Medio Alto,Medio Alto,Medio Alto,Medio Alto,Universidades Estatales CRUCH,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,no acreditado
9936,2011,I71S1C27J1V1,Medio,Medio Alto,Medio Alto,Muy Bajo,Medio Alto,Medio Alto,Medio Alto,Bajo,Medio Alto,Universidades Estatales CRUCH,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,acreditado
9937,2011,I71S1C25J1V1,Medio,Alto,Alto,Medio,Medio Alto,Medio Alto,Medio Alto,Alto,Alto,Universidades Estatales CRUCH,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,acreditado
9938,2011,I71S1C24J1V1,Medio,Medio Alto,Alto,Medio,Medio Alto,Medio Alto,Medio Alto,Alto,Medio Alto,Universidades Estatales CRUCH,CIENCIAS,PRESENCIAL,DIURNO,no acreditado
9939,2011,I71S1C23J1V1,Bajo,Alto,Medio,Muy Bajo,Medio,Medio Alto,Alto,Alto,Medio,Universidades Estatales CRUCH,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,acreditado
9940,2011,I71S1C22J1V1,Medio,Alto,Medio Alto,Muy Bajo,Medio Alto,Alto,Alto,Alto,Medio,Universidades Estatales CRUCH,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,acreditado
9947,2011,I71S1C21J1V1,Medio,Medio Alto,Medio Alto,Bajo,Medio Alto,Medio Alto,Alto,Medio Alto,Alto,Universidades Estatales CRUCH,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,no acreditado
9948,2011,I71S1C20J1V1,Medio Alto,Alto,Alto,Muy Bajo,Medio Alto,Alto,Alto,Medio,Alto,Universidades Estatales CRUCH,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,acreditado
9950,2011,I71S1C19J1V1,Bajo,Alto,Medio Alto,Muy Bajo,Medio Alto,Alto,Alto,Alto,Medio Alto,Universidades Estatales CRUCH,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,acreditado
9951,2011,I71S1C18J1V1,Medio,Alto,Medio Alto,Bajo,Medio Alto,Medio Alto,Alto,Alto,Medio Alto,Universidades Estatales CRUCH,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,acreditado
9952,2011,I71S1C17J1V1,Medio Alto,Alto,Alto,Muy Bajo,Medio Alto,Medio Alto,Alto,Alto,Alto,Universidades Estatales CRUCH,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,no acreditado
9953,2011,I71S1C16J1V1,Bajo,Alto,Alto,Bajo,Medio Alto,Medio Alto,Alto,Alto,Medio Alto,Universidades Estatales CRUCH,CIENCIAS,PRESENCIAL,DIURNO,no acreditado
9955,2011,I71S1C161J2V1,Medio,Bajo,Medio,Alto,Muy Bajo,Bajo,Muy Bajo,Medio Alto,Medio,Universidades Estatales CRUCH,SERVICIOS,PRESENCIAL,VESPERTINO,acreditado
9957,2011,I71S1C15J1V1,Bajo,Medio,Medio Alto,Bajo,Medio Alto,Medio Alto,Alto,Medio,Medio,Universidades Estatales CRUCH,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,acreditado
9958,2011,I71S1C157J2V1,Bajo,Muy Bajo,Alto,Alto,Muy Bajo,Medio,Muy Bajo,Muy Bajo,Medio Alto,Universidades Estatales CRUCH,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,VESPERTINO,no acreditado
9960,2011,I71S1C14J1V1,Medio,Alto,Alto,Bajo,Medio Alto,Alto,Alto,Alto,Alto,Universidades Estatales CRUCH,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,acreditado
9961,2011,I71S1C149J1V1,Bajo,Medio Alto,Bajo,Bajo,Medio Alto,Medio Alto,Medio,Medio Alto,Bajo,Universidades Estatales CRUCH,EDUCACI�N,PRESENCIAL,DIURNO,acreditado
9962,2011,I71S1C145J1V1,Medio Alto,Medio,Muy Bajo,Medio,Medio Alto,Medio,Medio,Muy Bajo,Muy Bajo,Universidades Estatales CRUCH,EDUCACI�N,PRESENCIAL,DIURNO,acreditado
9966,2011,I71S1C134J2V1,Medio Alto,Bajo,Bajo,Alto,Muy Bajo,Bajo,Muy Bajo,Medio,Medio,Universidades Estatales CRUCH,EDUCACI�N,PRESENCIAL,VESPERTINO,no acreditado
9967,2011,I71S1C133J2V1,Muy Bajo,Medio Alto,Medio,Alto,Muy Bajo,Medio,Muy Bajo,Alto,Medio Alto,Universidades Estatales CRUCH,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,VESPERTINO,acreditado
9968,2011,I71S1C129J2V1,Bajo,Medio,Bajo,Alto,Muy Bajo,Bajo,Muy Bajo,Medio,Muy Bajo,Universidades Estatales CRUCH,EDUCACI�N,PRESENCIAL,VESPERTINO,acreditado
9969,2011,I71S1C128J2V1,Medio Alto,Medio Alto,Alto,Alto,Muy Bajo,Medio,Medio Alto,Bajo,Alto,Universidades Estatales CRUCH,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,VESPERTINO,no acreditado
9970,2011,I71S1C127J2V1,Muy Bajo,Medio Alto,Medio Alto,Alto,Muy Bajo,Bajo,Muy Bajo,Medio Alto,Medio Alto,Universidades Estatales CRUCH,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,VESPERTINO,acreditado
9971,2011,I71S1C126J2V1,Muy Bajo,Muy Bajo,Alto,Alto,Muy Bajo,Bajo,Muy Bajo,Bajo,Alto,Universidades Estatales CRUCH,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,VESPERTINO,acreditado
9972,2011,I71S1C125J2V1,Muy Bajo,Alto,Alto,Alto,Muy Bajo,Bajo,Medio Alto,Alto,Alto,Universidades Estatales CRUCH,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,VESPERTINO,acreditado
9973,2011,I71S1C123J2V1,Medio,Muy Bajo,Medio,Alto,Muy Bajo,Bajo,Medio Alto,Bajo,Medio,Universidades Estatales CRUCH,SERVICIOS,PRESENCIAL,VESPERTINO,no acreditado
9974,2011,I71S1C121J2V1,Muy Bajo,Bajo,Alto,Alto,Muy Bajo,Medio,Muy Bajo,Medio,Alto,Universidades Estatales CRUCH,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,VESPERTINO,acreditado
9975,2011,I71S1C120J2V1,Muy Bajo,Medio Alto,Medio Alto,Alto,Muy Bajo,Medio Alto,Muy Bajo,Alto,Medio Alto,Universidades Estatales CRUCH,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,VESPERTINO,acreditado
9976,2011,I71S1C110J1V1,Medio,Medio,Medio Alto,Muy Bajo,Medio,Bajo,Medio,Medio,Medio Alto,Universidades Estatales CRUCH,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,acreditado
9977,2011,I71S1C109J1V1,Muy Bajo,Medio,Alto,Muy Bajo,Medio,Bajo,Medio,Bajo,Medio Alto,Universidades Estatales CRUCH,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,acreditado
9978,2011,I71S1C108J1V1,Medio,Medio,Medio Alto,Muy Bajo,Bajo,Bajo,Medio,Medio,Alto,Universidades Estatales CRUCH,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,acreditado
9979,2011,I71S1C106J1V1,Medio,Medio,Bajo,Muy Bajo,Medio,Medio,Medio,Bajo,Medio Alto,Universidades Estatales CRUCH,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,acreditado
9980,2011,I71S1C105J1V1,Medio Alto,Medio,Medio,Muy Bajo,Medio,Muy Bajo,Medio,Medio,Medio Alto,Universidades Estatales CRUCH,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,acreditado
9982,2011,I71S1C104J1V1,Medio,Medio,Medio Alto,Muy Bajo,Medio,Muy Bajo,Medio,Medio Alto,Medio,Universidades Estatales CRUCH,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,acreditado
9983,2011,I71S1C103J2V1,Medio,Bajo,Muy Bajo,Bajo,Alto,Bajo,Medio,Bajo,Bajo,Universidades Estatales CRUCH,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,VESPERTINO,acreditado
9985,2011,I71S1C102J2V1,Alto,Medio,Bajo,Medio Alto,Muy Bajo,Muy Bajo,Medio,Medio,Muy Bajo,Universidades Estatales CRUCH,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,VESPERTINO,acreditado
9986,2011,I71S1C102J1V1,Medio Alto,Medio,Bajo,Muy Bajo,Medio,Muy Bajo,Medio,Medio Alto,Muy Bajo,Universidades Estatales CRUCH,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,acreditado
9987,2011,I71S1C101J1V1,Muy Bajo,Medio Alto,Bajo,Bajo,Medio,Medio Alto,Alto,Medio Alto,Bajo,Universidades Estatales CRUCH,AGRICULTURA,PRESENCIAL,DIURNO,no acreditado
9988,2011,I71S1C100J1V1,Medio Alto,Medio,Medio Alto,Muy Bajo,Medio Alto,Medio Alto,Medio Alto,Muy Bajo,Medio Alto,Universidades Estatales CRUCH,CIENCIAS,PRESENCIAL,DIURNO,no acreditado
9989,2011,I78S5C168J1V1,Medio,Muy Bajo,Muy Bajo,Alto,Muy Bajo,Medio,Muy Bajo,Muy Bajo,Bajo,Universidades Estatales CRUCH,EDUCACI�N,PRESENCIAL,DIURNO,no acreditado
9990,2011,I82S1C6J1V1,Medio,Medio,Medio,Bajo,Medio Alto,Medio Alto,Medio,Bajo,Medio,Universidades Estatales CRUCH,EDUCACI�N,PRESENCIAL,DIURNO,acreditado
9991,2011,I82S1C5J1V1,Bajo,Alto,Bajo,Medio,Medio Alto,Bajo,Medio,Medio Alto,Muy Bajo,Universidades Estatales CRUCH,EDUCACI�N,PRESENCIAL,DIURNO,acreditado
9993,2011,I82S1C50J1V1,Medio,Medio Alto,Muy Bajo,Medio,Medio,Medio,Medio,Bajo,Muy Bajo,Universidades Estatales CRUCH,EDUCACI�N,PRESENCIAL,DIURNO,acreditado
9996,2011,I82S1C41J1V1,Bajo,Medio,Medio,Medio,Medio Alto,Medio,Medio,Bajo,Medio Alto,Universidades Estatales CRUCH,EDUCACI�N,PRESENCIAL,DIURNO,acreditado
9997,2011,I82S1C3J1V1,Bajo,Medio Alto,Medio Alto,Bajo,Medio Alto,Medio,Medio,Medio Alto,Medio,Universidades Estatales CRUCH,EDUCACI�N,PRESENCIAL,DIURNO,acreditado
9998,2011,I82S1C23J1V1,Muy Bajo,Medio Alto,Medio,Medio,Medio,Alto,Medio Alto,Medio,Medio,Universidades Estatales CRUCH,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,acreditado
9999,2011,I82S1C22J1V1,Muy Bajo,Alto,Muy Bajo,Bajo,Medio,Medio,Medio,Alto,Bajo,Universidades Estatales CRUCH,EDUCACI�N,PRESENCIAL,DIURNO,acreditado
10000,2011,I82S1C19J1V1,Bajo,Alto,Bajo,Bajo,Medio Alto,Medio,Medio,Alto,Bajo,Universidades Estatales CRUCH,EDUCACI�N,PRESENCIAL,DIURNO,acreditado
10001,2011,I82S1C18J1V1,Medio,Muy Bajo,Bajo,Medio,Medio,Medio Alto,Medio,Muy Bajo,Bajo,Universidades Estatales CRUCH,EDUCACI�N,PRESENCIAL,DIURNO,acreditado
10002,2011,I82S1C17J1V1,Medio,Medio Alto,Bajo,Bajo,Medio Alto,Bajo,Medio,Bajo,Muy Bajo,Universidades Estatales CRUCH,EDUCACI�N,PRESENCIAL,DIURNO,acreditado
10003,2011,I82S1C16J1V1,Medio,Medio Alto,Bajo,Medio,Medio Alto,Bajo,Medio,Medio Alto,Bajo,Universidades Estatales CRUCH,EDUCACI�N,PRESENCIAL,DIURNO,acreditado
10004,2011,I82S1C13J1V1,Muy Bajo,Alto,Muy Bajo,Bajo,Medio Alto,Bajo,Medio,Alto,Muy Bajo,Universidades Estatales CRUCH,EDUCACI�N,PRESENCIAL,DIURNO,acreditado
10005,2011,I82S1C133J1V1,Muy Bajo,Bajo,Medio Alto,Medio,Medio,Alto,Medio,Muy Bajo,Medio Alto,Universidades Estatales CRUCH,HUMANIDADES Y ARTES,PRESENCIAL,DIURNO,no acreditado
10006,2011,I82S1C12J1V1,Muy Bajo,Medio,Muy Bajo,Muy Bajo,Medio Alto,Medio Alto,Medio,Medio,Muy Bajo,Universidades Estatales CRUCH,EDUCACI�N,PRESENCIAL,DIURNO,acreditado
10010,2011,I82S1C10J1V1,Muy Bajo,Medio,Muy Bajo,Bajo,Medio,Medio,Medio,Medio Alto,Muy Bajo,Universidades Estatales CRUCH,EDUCACI�N,PRESENCIAL,DIURNO,acreditado
10012,2011,I88S6C89J2V1,Medio,Muy Bajo,Medio Alto,Alto,Muy Bajo,Bajo,Medio,Bajo,Medio Alto,Universidades Privadas CRUCH,CIENCIAS,PRESENCIAL,VESPERTINO,no acreditado
10013,2011,I88S6C23J2V1,Bajo,Medio Alto,Medio Alto,Alto,Muy Bajo,Bajo,Medio,Alto,Medio Alto,Universidades Privadas CRUCH,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,VESPERTINO,no acreditado
10014,2011,I88S6C228J2V1,Alto,Muy Bajo,Alto,Alto,Muy Bajo,Medio Alto,Alto,Bajo,Alto,Universidades Privadas CRUCH,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,VESPERTINO,no acreditado
10016,2011,I88S6C13J1V1,Medio,Alto,Alto,Muy Bajo,Bajo,Alto,Alto,Medio Alto,Alto,Universidades Privadas CRUCH,CIENCIAS,PRESENCIAL,DIURNO,no acreditado
10017,2011,I88S4C60J1V1,Bajo,Medio,Alto,Muy Bajo,Medio Alto,Medio Alto,Medio Alto,Medio,Medio Alto,Universidades Privadas CRUCH,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,no acreditado
10018,2011,I88S4C53J1V1,Medio Alto,Bajo,Alto,Muy Bajo,Muy Bajo,Alto,Alto,Bajo,Medio Alto,Universidades Privadas CRUCH,SERVICIOS,PRESENCIAL,DIURNO,no acreditado
10021,2011,I88S4C20J1V1,Medio,Alto,Medio,Bajo,Bajo,Alto,Alto,Medio Alto,Medio,Universidades Privadas CRUCH,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,acreditado
10022,2011,I88S4C15J2V1,Muy Bajo,Alto,Alto,Alto,Muy Bajo,Medio,Muy Bajo,Alto,Medio Alto,Universidades Privadas CRUCH,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,VESPERTINO,acreditado
10023,2011,I88S4C14J1V1,Muy Bajo,Alto,Medio Alto,Muy Bajo,Bajo,Alto,Alto,Alto,Medio Alto,Universidades Privadas CRUCH,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,acreditado
10028,2011,I85S4C9J1V1,Bajo,Bajo,Medio Alto,Muy Bajo,Medio,Bajo,Medio,Bajo,Medio Alto,Universidades Estatales CRUCH,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,no acreditado
10029,2011,I85S4C70J1V1,Bajo,Alto,Medio Alto,Medio,Medio Alto,Medio,Medio Alto,Medio Alto,Alto,Universidades Estatales CRUCH,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,no acreditado
10031,2011,I85S4C59J1V1,Muy Bajo,Alto,Medio Alto,Medio,Medio Alto,Medio,Medio Alto,Medio Alto,Medio,Universidades Estatales CRUCH,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,no acreditado
10032,2011,I85S4C57J1V1,Medio,Medio,Medio Alto,Bajo,Medio Alto,Bajo,Medio Alto,Bajo,Medio,Universidades Estatales CRUCH,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,no acreditado
10033,2011,I85S4C56J1V1,Bajo,Bajo,Medio Alto,Muy Bajo,Medio Alto,Bajo,Medio Alto,Bajo,Medio Alto,Universidades Estatales CRUCH,SERVICIOS,PRESENCIAL,DIURNO,no acreditado
10034,2011,I85S4C35J1V1,Bajo,Alto,Medio,Medio,Alto,Bajo,Medio Alto,Medio Alto,Medio,Universidades Estatales CRUCH,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,no acreditado
10035,2011,I85S4C33J1V1,Medio,Medio Alto,Alto,Medio,Medio Alto,Medio Alto,Medio Alto,Medio,Alto,Universidades Estatales CRUCH,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,no acreditado
10036,2011,I85S4C32J1V1,Bajo,Medio Alto,Alto,Bajo,Medio Alto,Bajo,Medio Alto,Medio Alto,Medio Alto,Universidades Estatales CRUCH,CIENCIAS,PRESENCIAL,DIURNO,acreditado
10037,2011,I85S4C31J1V1,Medio Alto,Muy Bajo,Medio Alto,Muy Bajo,Medio Alto,Bajo,Medio Alto,Muy Bajo,Medio Alto,Universidades Estatales CRUCH,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,no acreditado
10038,2011,I85S4C30J1V1,Muy Bajo,Medio Alto,Muy Bajo,Medio,Medio Alto,Medio,Medio Alto,Medio Alto,Bajo,Universidades Estatales CRUCH,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,no acreditado
10039,2011,I85S4C29J1V1,Muy Bajo,Medio Alto,Alto,Medio,Medio,Medio,Medio Alto,Medio Alto,Alto,Universidades Estatales CRUCH,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,no acreditado
10040,2011,I85S4C201J1V1,Medio,Alto,Alto,Bajo,Medio Alto,Medio,Medio Alto,Bajo,Alto,Universidades Estatales CRUCH,CIENCIAS,PRESENCIAL,DIURNO,acreditado
10041,2011,I85S4C200J1V1,Medio,Medio Alto,Medio Alto,Bajo,Alto,Medio,Medio Alto,Muy Bajo,Medio Alto,Universidades Estatales CRUCH,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,no acreditado
10043,2011,I85S3C4J1V1,Bajo,Medio,Bajo,Medio Alto,Medio,Medio Alto,Medio Alto,Bajo,Medio,Universidades Estatales CRUCH,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,no acreditado
10044,2011,I85S3C28J1V1,Muy Bajo,Alto,Bajo,Muy Bajo,Medio,Medio,Medio Alto,Alto,Bajo,Universidades Estatales CRUCH,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,acreditado
10048,2011,I85S3C13J1V1,Bajo,Alto,Medio,Muy Bajo,Medio,Medio Alto,Medio Alto,Medio Alto,Medio,Universidades Estatales CRUCH,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,no acreditado
10049,2011,I85S1C6J1V1,Medio,Bajo,Medio Alto,Medio Alto,Medio Alto,Muy Bajo,Medio Alto,Bajo,Medio Alto,Universidades Estatales CRUCH,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,no acreditado
10050,2011,I85S1C61J1V1,Bajo,Alto,Bajo,Bajo,Medio,Medio Alto,Medio Alto,Muy Bajo,Bajo,Universidades Estatales CRUCH,HUMANIDADES Y ARTES,PRESENCIAL,DIURNO,no acreditado
10051,2011,I85S1C55J1V1,Bajo,Medio Alto,Medio,Bajo,Medio,Medio Alto,Medio Alto,Bajo,Muy Bajo,Universidades Estatales CRUCH,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,no acreditado
10054,2011,I85S1C39J1V1,Bajo,Medio Alto,Muy Bajo,Bajo,Medio,Medio,Medio Alto,Alto,Bajo,Universidades Estatales CRUCH,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,no acreditado
10055,2011,I85S1C34J1V1,Muy Bajo,Medio Alto,Medio,Muy Bajo,Medio Alto,Bajo,Medio Alto,Medio Alto,Medio,Universidades Estatales CRUCH,SERVICIOS,PRESENCIAL,DIURNO,no acreditado
10059,2011,I143S7C99J1V1,Alto,Medio,Muy Bajo,Bajo,Medio,Bajo,Bajo,Medio Alto,Muy Bajo,Institutos Profesionales,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,no acreditado
10060,2011,I143S7C98J1V1,Alto,Medio Alto,Muy Bajo,Muy Bajo,Medio,Bajo,Bajo,Medio Alto,Muy Bajo,Institutos Profesionales,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,no acreditado
10061,2011,I143S7C94J2V1,Alto,Bajo,Alto,Medio Alto,Bajo,Bajo,Muy Bajo,Bajo,Alto,Institutos Profesionales,CIENCIAS,PRESENCIAL,VESPERTINO,no acreditado
10062,2011,I143S7C94J1V1,Medio Alto,Muy Bajo,Alto,Muy Bajo,Medio,Medio Alto,Muy Bajo,Muy Bajo,Medio Alto,Institutos Profesionales,CIENCIAS,PRESENCIAL,DIURNO,no acreditado
10063,2011,I143S7C92J2V1,Alto,Bajo,Muy Bajo,Medio Alto,Medio,Muy Bajo,Bajo,Medio Alto,Muy Bajo,Institutos Profesionales,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,VESPERTINO,no acreditado
10064,2011,I143S7C92J1V1,Medio Alto,Medio Alto,Muy Bajo,Muy Bajo,Medio,Muy Bajo,Bajo,Alto,Muy Bajo,Institutos Profesionales,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,no acreditado
10065,2011,I143S7C84J2V1,Bajo,Bajo,Medio Alto,Medio Alto,Medio,Muy Bajo,Bajo,Medio,Medio,Institutos Profesionales,HUMANIDADES Y ARTES,PRESENCIAL,VESPERTINO,no acreditado
10066,2011,I143S7C84J1V1,Bajo,Medio,Medio Alto,Muy Bajo,Medio,Medio,Bajo,Medio Alto,Medio,Institutos Profesionales,HUMANIDADES Y ARTES,PRESENCIAL,DIURNO,no acreditado
10068,2011,I143S7C83J1V1,Alto,Medio,Muy Bajo,Medio,Medio,Medio,Muy Bajo,Medio,Muy Bajo,Institutos Profesionales,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,no acreditado
